id,email,name,website,amenity,building,shop,tourism,information,addr:full,tags_search,additional_information,geometry,sentence,gml_id,interpreted_type,mid_labels,bosserhof_class,short_reason
369778039,,,,bench,,,,,,backrest yes,,POINT (10.823163986206055 52.43185806274414),Amenity: bench. Additional tags: backrest yes.,369778039,bench,[],,"The feature is tagged as amenity=bench with backrest=yes, which is an outdoor seating object rather "
454358749,,Hotel »Zur Krone«,,,,,hotel,,,toilets wheelchair yes wheelchair limited,,POINT (10.381643295288086 52.15401840209961),Hotel »Zur Krone«. Tourism: hotel. Additional tags: toilets wheelchair yes wheelchair limited.,454358749,Hotel Zur Krone,"['leisure', 'work']",hotels,The OSM tag tourism=hotel and the name (“Hotel Zur Krone”) clearly identify this as an enterable acc
426165938,,,,parking,yes,,,,,roof shape flat,parking: multi-storey,"POLYGON ((9.99382209777832 51.69258117675781, 9.993630409240723 51.69214630126953, 9.993749618530273 51.69212341308594, 9.99386978149414 51.69210433959961, 9.99405574798584 51.692527770996094, 9.994061470031738 51.69253921508789, 9.993942260742188 51.692562103271484, 9.99382209777832 51.69258117675781))",Amenity: parking; Building: yes. Additional information: parking: multi-storey. Additional tags: roof shape flat.,426165938,multi-storey car park,[],,The feature is an amenity=parking with building=yes specifying a multi-storey car park. This is prim
2651579544,,,,bench,,,,,,backrest no capacity 1 material concrete,,POINT (10.220850944519043 52.73497009277344),Amenity: bench. Additional tags: backrest no capacity 1 material concrete.,2651579544,bench,[],,"The OSM tag amenity=bench indicates an outdoor seating object, not an enterable building or facility"
361254025,,DLR,,parking,,,,,,access customers capacity 4 fee no park ride no,parking: surface,"POLYGON ((10.560487747192383 52.31461715698242, 10.560797691345215 52.31459045410156, 10.560792922973633 52.3145637512207, 10.560426712036133 52.31459426879883, 10.560450553894043 52.314605712890625, 10.560487747192383 52.31461715698242))",DLR. Amenity: parking. Additional information: parking: surface. Additional tags: access customers capacity 4 fee no park ride no.,361254025,surface parking lot,[],,The OSM tags show amenity=parking and parking=surface with no building or enclosed structure. This i
218086915,,,,parking,,,,,,access customers capacity 21 fee no wheelchair yes,parking: surface,"POLYGON ((10.418760299682617 52.338016510009766, 10.417933464050293 52.33797073364258, 10.417940139770508 52.337928771972656, 10.418766021728516 52.337974548339844, 10.418760299682617 52.338016510009766))",Amenity: parking. Additional information: parking: surface. Additional tags: access customers capacity 21 fee no wheelchair yes.,218086915,Surface parking lot,[],,"The OSM tags (amenity=parking, parking=surface) describe an open-air parking facility with capacity "
5562648914,,,,,,kiosk,,,"Kornmarkt, 9, Wolfenbüttel, 38300",addr suburb alte heinrichstadt,post_office: DHL; lottery: yes; tobacco: yes,POINT (10.535758018493652 52.16175842285156),"Shop: kiosk. Address: Kornmarkt, 9, Wolfenbüttel, 38300. Additional information: post_office: DHL; lottery: yes; tobacco: yes. Additional tags: addr suburb alte heinrichstadt.",5562648914,kiosk / small convenience shop with DHL service,"['retail_daily', 'errands', 'work']",retail (small-scale),"The snippet describes a kiosk (shop=kiosk) at Kornmarkt 9 offering daily goods (tobacco, lottery) an"
87606134,,Grundschule Jürgenohl,https://www.gs-juergenohl.de/,school,yes,,,,"Kösliner Straße, 8, Goslar",check date 2024 01 19,,"POLYGON ((10.441997528076172 51.925193786621094, 10.44180965423584 51.92522430419922, 10.441797256469727 51.92518997192383, 10.441736221313477 51.925201416015625, 10.441569328308105 51.92476272583008, 10.441469192504883 51.92477798461914, 10.441485404968262 51.92481994628906, 10.44137191772461 51.92483901977539, 10.44133472442627 51.924739837646484, 10.44146728515625 51.924720764160156, 10.441457748413086 51.9246940612793, 10.441539764404297 51.9246826171875, 10.441516876220703 51.924625396728516, 10.441250801086426 51.92466354370117, 10.441207885742188 51.9245491027832, 10.441213607788086 51.9245491027832, 10.441190719604492 51.92448806762695, 10.441040992736816 51.92450714111328, 10.441064834594727 51.9245719909668, 10.440932273864746 51.924591064453125, 10.440890312194824 51.92448043823242, 10.441008567810059 51.924461364746094, 10.440994262695312 51.9244270324707, 10.441710472106934 51.924320220947266, 10.441740989685059 51.924400329589844, 10.44159984588623 51.92441940307617, 10.441667556762695 51.924598693847656, 10.441603660583496 51.92461013793945, 10.441624641418457 51.92466354370117, 10.44250202178955 51.924537658691406, 10.442516326904297 51.92457580566406, 10.442739486694336 51.92454147338867, 10.442770004272461 51.924625396728516, 10.442548751831055 51.92465591430664, 10.442536354064941 51.92462158203125, 10.441709518432617 51.924739837646484, 10.44180965423584 51.92500305175781, 10.44191837310791 51.92498779296875, 10.441997528076172 51.925193786621094))","Grundschule Jürgenohl. Website: https://www.gs-juergenohl.de/. Amenity: school; Building: yes. Address: Kösliner Straße, 8, Goslar. Additional tags: check date 2024 01 19.",87606134,Grundschule Jürgenohl (primary school),"['school', 'lessons', 'work']",schools,The OSM tags amenity=school and building=yes identify this as a primary school (Grundschule). Visito
8761116871,,Seppchen Muthig,,,,,artwork,,,artwork type statue,,POINT (10.371612548828125 52.04764175415039),Seppchen Muthig. Tourism: artwork. Additional tags: artwork type statue.,8761116871,statue,[],,The OSM tags tourism=artwork and artwork_type=statue indicate that this is an outdoor sculpture. It 
3289681401,,,,bench,,,,,,backrest yes check date 2021 10 28 material wood,,POINT (10.816493034362793 52.4349250793457),Amenity: bench. Additional tags: backrest yes check date 2021 10 28 material wood.,3289681401,bench (public seating),[],,"The place is tagged amenity=bench with attributes like backrest=yes and material=wood, identifying i"
12662366812,,Oker,,bicycle_parking,,,,,,bike ride bus train capacity 8,,POINT (10.47895336151123 51.90489196777344),Oker. Amenity: bicycle_parking. Additional tags: bike ride bus train capacity 8.,12662366812,Bicycle parking facility,[],,The OSM tag amenity=bicycle_parking indicates this is an outdoor bike parking facility with capacity
8960125195,,,,bench,,,,,,backrest yes colour brown material wood seats 8,,POINT (10.416816711425781 51.830711364746094),Amenity: bench. Additional tags: backrest yes colour brown material wood seats 8.,8960125195,bench,[],,"The OSM tags describe an outdoor bench (amenity=bench) with backrest, wooden material, seating for e"
153468440,,Haarmoden Brigitte,,,house,hairdresser,,,"Bäckerstraße, 10, Clausthal-Zellerfeld, 38678",addr suburb zellerfeld clausthal zellerfeld wheelchair no,,"POLYGON ((10.33641529083252 51.81809616088867, 10.336515426635742 51.81819534301758, 10.336581230163574 51.81816864013672, 10.3366060256958 51.81819534301758, 10.336702346801758 51.81815719604492, 10.336577415466309 51.81803512573242, 10.33641529083252 51.81809616088867))","Haarmoden Brigitte. Building: house; Shop: hairdresser. Address: Bäckerstraße, 10, Clausthal-Zellerfeld, 38678. Additional tags: addr suburb zellerfeld clausthal zellerfeld wheelchair no.",153468440,Hair salon (Haarmoden Brigitte),"['errands', 'work']",customer-oriented services,"The OSM tags indicate shop=hairdresser in a building=house, so this is a hair salon people enter. As"
11865363231,,,,waste_basket,,,,,,,,POINT (10.54655647277832 52.26986312866211),Amenity: waste_basket.,11865363231,Public waste basket,[],,"The feature is tagged amenity=waste_basket, which is an outdoor object for disposing of trash. It is"
760266558,,,,bench,,,,,,backrest no material wood,,POINT (10.230494499206543 51.93930435180664),Amenity: bench. Additional tags: backrest no material wood.,760266558,Wooden bench with backrest,[],,The OSM tags indicate amenity=bench with a wooden material and backrest. This is an outdoor seating 
1387067512,,,,parking,,,,,,orientation parallel,parking: street_side,"POLYGON ((10.507213592529297 52.25941848754883, 10.507192611694336 52.259429931640625, 10.507280349731445 52.25950241088867, 10.507377624511719 52.25960159301758, 10.507454872131348 52.259700775146484, 10.507526397705078 52.259796142578125, 10.507607460021973 52.2598991394043, 10.507682800292969 52.2599983215332, 10.50774097442627 52.26007080078125, 10.507824897766113 52.26018524169922, 10.507882118225098 52.260257720947266, 10.507906913757324 52.260250091552734, 10.507853507995605 52.26017379760742, 10.507766723632812 52.260066986083984, 10.507707595825195 52.25999450683594, 10.507633209228516 52.25989532470703, 10.507548332214355 52.25978469848633, 10.507477760314941 52.25969696044922, 10.507403373718262 52.25959396362305, 10.507306098937988 52.25949478149414, 10.507213592529297 52.25941848754883))",Amenity: parking. Additional information: parking: street_side. Additional tags: orientation parallel.,1387067512,Street-side parking,[],,"The feature is described as amenity=parking with parking=street_side and orientation parallel, indic"
165584003,,,,parking_space,,,,,,,parking: surface,"POLYGON ((10.797850608825684 52.43423843383789, 10.797886848449707 52.43423843383789, 10.797898292541504 52.43419647216797, 10.79786205291748 52.4341926574707, 10.797850608825684 52.43423843383789))",Amenity: parking_space. Additional information: parking: surface.,165584003,Surface parking area,[],,The OSM tags amenity=parking_space and parking=surface indicate an open-air parking lot rather than 
11005990696,,,,hunting_stand,,,,,,,,POINT (10.447049140930176 51.68599319458008),Amenity: hunting_stand.,11005990696,hunting stand,[],,A hunting stand is an outdoor elevated platform used by hunters rather than an enterable building or
3789989924,,Deutsche Post,,post_box,,,,,,collection times mo sa 09 00,,POINT (10.056296348571777 52.39838409423828),Deutsche Post. Amenity: post_box. Additional tags: collection times mo sa 09 00.,3789989924,Public mailbox,[],,"The OSM tag amenity=post_box indicates this is a standalone mailbox (Deutsche Post collection box), "
5570938022,,Deutsche Post,,post_box,,,,,,collection times mo sa 08 00 operator wikidata q157645,,POINT (10.332106590270996 51.93731689453125),Deutsche Post. Amenity: post_box. Additional tags: collection times mo sa 08 00 operator wikidata q157645.,5570938022,post box,[],,"The OSM tag amenity=post_box indicates this is an outdoor mail collection box, not an enterable buil"
913785401,,,,bicycle_parking,,,,,,access permissive capacity 4 covered no,bicycle_parking: stands,"POLYGON ((10.547025680541992 52.26099395751953, 10.547033309936523 52.2609748840332, 10.547090530395508 52.260986328125, 10.54708194732666 52.26100540161133, 10.547025680541992 52.26099395751953))",Amenity: bicycle_parking. Additional information: bicycle_parking: stands. Additional tags: access permissive capacity 4 covered no.,913785401,bicycle parking (stands),[],,This is a bicycle parking area (amenity=bicycle_parking) with stands and capacity for 4 bikes. It is
1168653671,,Raiffeisen Waschanlage,,car_wash,,,,,"Celler Straße, 19, Hankensbüttel, 29386",automated yes brand sb self service no,,POINT (10.595738410949707 52.72590255737305),"Raiffeisen Waschanlage. Amenity: car_wash. Address: Celler Straße, 19, Hankensbüttel, 29386. Additional tags: automated yes brand sb self service no.",1168653671,Car wash facility (Raiffeisen Waschanlage),"['errands', 'work']",customer-oriented services,The OSM tag amenity=car_wash indicates a dedicated car‐wash building. Visitors go there for a practi
3470201022,,,,,,hairdresser,,,,,,POINT (10.371902465820312 52.05121994018555),Shop: hairdresser.,3470201022,Hair salon / hairdresser,"['errands', 'work']",customer-oriented services,"The POI is tagged as a shop: hairdresser, indicating an enterable building where staff perform haird"
967625968,,,,bench,,,,,,backrest yes check date 2021 08 19,,POINT (10.52507495880127 52.31526184082031),Amenity: bench. Additional tags: backrest yes check date 2021 08 19.,967625968,bench,[],,"The OSM tag amenity=bench indicates an outdoor seating object, not an enterable building or facility"
1486111274,,Naturschutzgebiet Großes Moor,,,,,information,map,,direction 300 hiking yes map size region map type scheme traffic sign de naturschutzgebiet,bicycle: yes,POINT (10.642099380493164 52.583412170410156),Naturschutzgebiet Großes Moor. Tourism: information; Information: map. Additional information: bicycle: yes. Additional tags: direction 300 hiking yes map size region map type scheme traffic sign de naturschutzgebiet.,1486111274,Nature reserve information board,[],,The snippet describes an outdoor information/map sign for the Großes Moor nature reserve (tourism=in
134456051,,,,parish_hall,,,,,"Kirchplatz, 5b, Braunlage, 37444",addr suburb sankt andreasberg building part yes description de gemeindehaus und kirchenbüro der martini kirche wheelchair yes,,"POLYGON ((10.51964282989502 51.709598541259766, 10.519465446472168 51.70966339111328, 10.519513130187988 51.709712982177734, 10.51955795288086 51.70975875854492, 10.519624710083008 51.70973587036133, 10.519682884216309 51.709712982177734, 10.519735336303711 51.709693908691406, 10.519691467285156 51.70964813232422, 10.51964282989502 51.709598541259766))","Amenity: parish_hall. Address: Kirchplatz, 5b, Braunlage, 37444. Additional tags: addr suburb sankt andreasberg building part yes description de gemeindehaus und kirchenbüro der martini kirche wheelchair yes.",134456051,Parish hall and church office (Gemeindehaus und Kirchenbüro der Martini-Kirche),"['meetup', 'errands']",customer-oriented services,The OSM tag amenity=parish_hall plus the description ‘Gemeindehaus und Kirchenbüro’ indicates a comm
7603036164,,Gemeinde Sassenburg,,,,,information,guidepost,,description freizeitradwegeausschilderung der gemeinde sassenburg height 2 85,bicycle: yes,POINT (10.64183521270752 52.58346939086914),Gemeinde Sassenburg. Tourism: information; Information: guidepost. Additional information: bicycle: yes. Additional tags: description freizeitradwegeausschilderung der gemeinde sassenburg height 2 85.,7603036164,Tourism information guidepost for cycling routes,[],,"The feature is an outdoor tourism information guidepost (OSM tags: tourism=information, information="
3473837528,,,,,,,information,guidepost,,note weser harz heide radfernweg,bicycle: yes,POINT (10.544347763061523 52.36380386352539),Tourism: information; Information: guidepost. Additional information: bicycle: yes. Additional tags: note weser harz heide radfernweg.,3473837528,bicycle route guidepost (tourism information),[],,The tags tourism=information and information=guidepost with bicycle=yes indicate an outdoor tourist 
1469648294,,,,bench,,,,,,backrest yes,,POINT (10.382200241088867 51.900508880615234),Amenity: bench. Additional tags: backrest yes.,1469648294,bench,[],,"The OSM tag amenity=bench describes a standalone bench (street or park furniture), not a building or"
10283118263,,Hauptfriedhof Braunschweig,https://www.friedhofsverwaltung-braunschweig.de/hauptfriedhof/lageplan/,,,,information,map,,map size site,,POINT (10.556633949279785 52.25783920288086),Hauptfriedhof Braunschweig. Website: https://www.friedhofsverwaltung-braunschweig.de/hauptfriedhof/lageplan/. Tourism: information; Information: map. Additional tags: map size site.,10283118263,Main cemetery (Hauptfriedhof Braunschweig),[],,"The Hauptfriedhof is a cemetery (landuse=cemetery), an outdoor burial ground rather than an enterabl"
148480632,,,,parking,,,,,,access customers fee no wheelchair yes,parking: surface,"POLYGON ((10.565564155578613 52.176658630371094, 10.565543174743652 52.176612854003906, 10.565531730651855 52.17658996582031, 10.565505027770996 52.17652893066406, 10.565163612365723 52.17658996582031, 10.565180778503418 52.1766471862793, 10.565202713012695 52.176719665527344, 10.565564155578613 52.176658630371094))",Amenity: parking. Additional information: parking: surface. Additional tags: access customers fee no wheelchair yes.,148480632,surface parking lot,[],,"The OSM tags indicate amenity=parking and parking=surface, describing an outdoor parking area for cu"
978077505,,,,parking,,,,,,access customers capacity 16 fee no surface asphalt,parking: surface,"POLYGON ((10.773398399353027 52.43881607055664, 10.773365020751953 52.438926696777344, 10.773009300231934 52.43888854980469, 10.773042678833008 52.438777923583984, 10.773398399353027 52.43881607055664))",Amenity: parking. Additional information: parking: surface. Additional tags: access customers capacity 16 fee no surface asphalt.,978077505,surface parking lot,[],,"The OSM tags describe amenity=parking with parking=surface and asphalt surface, capacity 16, access="
2475198548,,,,car_wash,,,,,,automated yes self service no,,POINT (10.884799003601074 52.489654541015625),Amenity: car_wash. Additional tags: automated yes self service no.,2475198548,Automated car wash facility,['errands'],vehicle / electrical repair,The OSM tag amenity=car_wash with automated=yes and self_service=no indicates an enterable service b
191560957,,,,parking_space,,,,,,level 3,,"POLYGON ((10.788183212280273 52.42192840576172, 10.788148880004883 52.42192840576172, 10.788156509399414 52.42188262939453, 10.788189888000488 52.4218864440918, 10.788183212280273 52.42192840576172))",Amenity: parking_space. Additional tags: level 3.,191560957,Parking space (amenity=parking_space),[],,"The OSM tag amenity=parking_space identifies an individual parking spot or collection of spots, not "
1942888748,,Deutsche Post,,post_box,,,,,,check date 2025 11 23 collection times mo sa 09 45 operator wikidata q157645,,POINT (10.741718292236328 52.73238754272461),Deutsche Post. Amenity: post_box. Additional tags: check date 2025 11 23 collection times mo sa 09 45 operator wikidata q157645.,1942888748,Postbox,[],,"The place is tagged as amenity=post_box, indicating an outdoor mailbox for mail collection. It is no"
4403048158,,,,recycling,,,,,,recycling glass bottles yes recycling paper yes recycling type container,,POINT (10.615196228027344 51.71731948852539),Amenity: recycling. Additional tags: recycling glass bottles yes recycling paper yes recycling type container.,4403048158,Outdoor recycling container for glass bottles and paper,[],,The OSM tags indicate an amenity=recycling container for glass bottles and paper. This is a public o
1932439764,,Dr. Mahdy,,doctors,,,,,,wheelchair limited,,POINT (10.536624908447266 52.59650802612305),Dr. Mahdy. Amenity: doctors. Additional tags: wheelchair limited.,1932439764,Doctor’s office,"['errands', 'business', 'work']",customer-oriented services,The OSM tag amenity=doctors indicates a medical consultation practice (Doctor Mahdy). Visitors go fo
12662674374,,Stadt Wolfsburg,,bicycle_parking,,,,,,bike ride bus train capacity 26,,POINT (10.716581344604492 52.424072265625),Stadt Wolfsburg. Amenity: bicycle_parking. Additional tags: bike ride bus train capacity 26.,12662674374,Bicycle parking facility,[],,The OSM tag amenity=bicycle_parking with capacity=26 indicates an outdoor bicycle parking area. This
178793632,,REWE,,,retail,supermarket,,,"Schöppenstedt, 38170",brand rewe brand wikidata q16968817 brand wikipedia en rewe wheelchair yes,,"POLYGON ((10.770118713378906 52.14134979248047, 10.770163536071777 52.14176940917969, 10.771026611328125 52.141727447509766, 10.770998001098633 52.14150619506836, 10.771132469177246 52.141502380371094, 10.771097183227539 52.141300201416016, 10.770943641662598 52.1411018371582, 10.770118713378906 52.14134979248047))","REWE. Building: retail; Shop: supermarket. Address: Schöppenstedt, 38170. Additional tags: brand rewe brand wikidata q16968817 brand wikipedia en rewe wheelchair yes.",178793632,REWE supermarket,"['retail_daily', 'errands', 'work']",retail (small-scale),The OSM tags building=retail and shop=supermarket plus the brand REWE indicate a grocery store. Visi
8755155576,,Nationalpark Harz,,,,,information,guidepost,,,,POINT (10.535765647888184 51.76539993286133),Nationalpark Harz. Tourism: information; Information: guidepost.,8755155576,Tourist information guidepost,[],,The OSM tags tourism=information and information=guidepost indicate this feature is a standalone out
946941755,,,,parking,,,,,,,parking: surface,"POLYGON ((10.755040168762207 52.38774871826172, 10.755337715148926 52.38774108886719, 10.755331993103027 52.38759231567383, 10.755034446716309 52.387596130371094, 10.755040168762207 52.38774871826172))",Amenity: parking. Additional information: parking: surface.,946941755,Surface parking lot,[],,The OSM tags amenity=parking and parking=surface indicate an outdoor surface parking area without an
605035554,,,,parking_space,,,,,,capacity 1,,"POLYGON ((10.354011535644531 51.799705505371094, 10.35401439666748 51.79972839355469, 10.353938102722168 51.79973220825195, 10.353935241699219 51.79970932006836, 10.354011535644531 51.799705505371094))",Amenity: parking_space. Additional tags: capacity 1.,605035554,parking space,[],,"The OSM tags indicate amenity=parking_space with capacity=1. This is an outdoor parking spot, not an"
13296917155,,,,vending_machine,,,,,,vending cigarettes,,POINT (10.532464027404785 52.420589447021484),Amenity: vending_machine. Additional tags: vending cigarettes.,13296917155,Cigarette vending machine,[],,"The POI is an outdoor vending machine for cigarettes (amenity=vending_machine, vending=cigarettes). "
687925240,,Ökokost,,,,supermarket,,,,wheelchair yes,organic: only,POINT (10.086852073669434 52.62356948852539),Ökokost. Shop: supermarket. Additional information: organic: only. Additional tags: wheelchair yes.,687925240,Organic supermarket,"['retail_daily', 'errands', 'work']",self-service department stores,The OSM snippet indicates shop=supermarket with organic-only offerings and wheelchair accessibility.
184429969,,Albemarle GmbH,,parking,,,,,,access permit fee no operator type business surface paving stones,,"POLYGON ((10.320228576660156 51.93034362792969, 10.319900512695312 51.92963409423828, 10.319629669189453 51.9296989440918, 10.319296836853027 51.9299201965332, 10.3198881149292 51.930381774902344, 10.320098876953125 51.930355072021484, 10.320228576660156 51.93034362792969))",Albemarle GmbH. Amenity: parking. Additional tags: access permit fee no operator type business surface paving stones.,184429969,parking lot,[],,"The feature is tagged amenity=parking with surface=paving_stones and access=permit, indicating an ou"
